id:ID,name,inception,:LABEL
Q143419,Blitz BASIC,2000-10-01T00:00:00Z,Technology
Q139380,Maple,1982-01-01T00:00:00Z,Technology
Q18207148,Flowgorithm,2014-01-01T00:00:00Z,Technology
Q132874,Q132874,1958-01-01T00:00:00Z,Technology
Q3902685,Pico,1997-01-01T00:00:00Z,Technology
Q1042397,Mesa,1976-01-01T00:00:00Z,Technology
Q54871,SPARQL,2008-01-15T00:00:00Z,Technology
Q1443431,Objective-J,2008-01-01T00:00:00Z,Technology
Q3140351,Hop,2006-01-01T00:00:00Z,Technology
Q7074171,Oaklisp,1986-01-01T00:00:00Z,Technology
Q7248516,Prograph,1983-01-01T00:00:00Z,Technology
Q1156474,Icon,1977-01-01T00:00:00Z,Technology
Q1265107,Joy,2001-01-01T00:00:00Z,Technology
Q2877155,BLISS,1970-01-01T00:00:00Z,Technology
Q2160963,PL/M,1973-01-01T00:00:00Z,Technology
Q7670997,TOM,1999-01-01T00:00:00Z,Technology
Q2205923,SETL,1969-01-01T00:00:00Z,Technology
Q685820,REXX,1979-01-01T00:00:00Z,Technology
Q1387402,SystemVerilog,2002-01-01T00:00:00Z,Technology
Q163468,Prolog,1972-01-01T00:00:00Z,Technology
Q3217187,Red,2011-01-01T00:00:00Z,Technology
Q169478,MATLAB,1984-01-01T00:00:00Z,Technology
Q165436,assembly language,1949-01-01T00:00:00Z,Technology
Q3312016,Micro Lua DS,2008-01-01T00:00:00Z,Technology
Q814269,Befunge,1993-01-01T00:00:00Z,Technology
Q136113,ZFS,,Technology
Q5502775,Frenetic,,Technology
Q5423569,F*,,Technology
Q378222,Whitespace,2003-04-01T00:00:00Z,Technology
Q4943501,Boomerang,2008-01-01T00:00:00Z,Technology
Q176984,UCSD Pascal,1978-01-01T00:00:00Z,Technology
Q517956,Malbolge,1998-01-01T00:00:00Z,Technology
Q6147158,Tink,2008-01-01T00:00:00Z,Technology
Q3353033,Opa,2011-01-01T00:00:00Z,Technology
Q132456753,Q132456753,,Technology
Q2357042,Strongtalk,2002-07-01T00:00:00Z,Technology
Q2437099,Object REXX,1988-01-01T00:00:00Z,Technology
Q4021505,XPL,1967-01-01T00:00:00Z,Technology
Q7119554,PL/C,1973-01-01T00:00:00Z,Technology
Q9026871,Magik,1989-01-01T00:00:00Z,Technology
Q1864529,Self,1987-01-01T00:00:00Z,Technology
Q97187861,YugabyteDB,2016-01-01T00:00:00Z,Technology
Q25345930,Citrine,2014-01-01T00:00:00Z,Technology
Q189248,GNU Bash,1989-06-08T00:00:00Z,Technology
Q5423621,F-Script,2009-01-01T00:00:00Z,Technology
Q369096,Pharo,2008-01-01T00:00:00Z,Technology
Q3218363,Lasso,1995-01-01T00:00:00Z,Technology
Q204222,KornShell,1983-01-01T00:00:00Z,Technology
Q7420937,Sense,,Technology
Q5730900,Bobcat,,Technology
Q22443510,Niki – der Roboter,,Technology
Q22583029,PC-Karel,,Technology
Q22666007,Visual Karel '99,,Technology
Q22666607,xKarel,,Technology
Q960361,RPL,1984-01-01T00:00:00Z,Technology
Q6460406,AMPLE,,Technology
Q2842324,TRAC,1964-01-01T00:00:00Z,Technology
Q67981636,Karel the Robot Simulator,,Technology
Q67981936,KAREL 3D WebGL,,Technology
Q112497804,Karel 1981,,Technology
Q258778,Extensible Application Markup Language,2008-06-01T00:00:00Z,Technology
Q212569,Simula,1962-01-01T00:00:00Z,Technology
Q5514650,GScript,,Technology
Q135551821,Uiua,,Technology
Q124804711,BQN,2020-01-01T00:00:00Z,Technology
Q263490,Control Language,,Technology
Q17009745,DADiSP,,Technology
Q212587,OCaml,1996-01-01T00:00:00Z,Technology
Q7275797,RAPID,1994-01-01T00:00:00Z,Technology
Q383994,J,1990-01-01T00:00:00Z,Technology
Q296704,ARLA,,Technology
Q305876,Q305876,1974-01-01T00:00:00Z,Technology
Q344108,Active Oberon,1997-01-01T00:00:00Z,Technology
Q201904,Qt,1995-05-20T00:00:00Z,Technology
Q834358,Q834358,1985-01-01T00:00:00Z,Technology
Q296187,APL,1966-01-01T00:00:00Z,Technology
Q2544816,Harbour,1999-01-01T00:00:00Z,Technology
Q1779923,Paradox,1985-01-01T00:00:00Z,Technology
Q4042031,K,1993-01-01T00:00:00Z,Technology
Q244627,Brainfuck,1993-01-01T00:00:00Z,Technology
Q187906,MINIX,1987-01-01T00:00:00Z,Technology
Q197520,NumPy,1995-01-01T00:00:00Z,Technology
Q204214,Tru64 UNIX,1992-01-01T00:00:00Z,Technology
Q362361,wxBasic,,Technology
Q267193,Sublime Text,2008-01-18T00:00:00Z,Technology
Q219528,CP/M,1974-01-01T00:00:00Z,Technology
Q377986,Clean,1987-01-01T00:00:00Z,Technology
Q375533,Kent Recursive Calculator,1981-01-01T00:00:00Z,Technology
Q207872,Lynx,1992-01-01T00:00:00Z,Technology
Q381247,QBasic,1991-01-01T00:00:00Z,Technology
Q101629075,Silq,2020-01-01T00:00:00Z,Technology
Q1439015,Fortress,2006-01-01T00:00:00Z,Technology
Q281876,YAML,2001-03-03T00:00:00Z,Technology
Q427002,DIGITAL Command Language,,Technology
Q268201,Wireless Markup Language,1998-01-01T00:00:00Z,Technology
Q7439742,SdlBasic,,Technology
Q780803,Miranda,1985-01-01T00:00:00Z,Technology
Q215448,Haiku,2002-01-01T00:00:00Z,Technology
Q134301689,Anubis,2025-01-19T00:00:00Z,Technology
Q28942582,Turbo Pascal OOP,1989-01-01T00:00:00Z,Technology
Q6509476,Lean,2013-01-01T00:00:00Z,Technology
Q597330,Standard ML,1983-01-01T00:00:00Z,Technology
Q239406,Standard ML of New Jersey,2002-10-16T00:00:00Z,Technology
Q11764839,MCPL,,Technology
Q797302,B,1969-01-01T00:00:00Z,Technology
Q795929,REALBasic,,Technology
Q776372,Information Processing Language,1956-01-01T00:00:00Z,Technology
Q730272,Lisp Machine Lisp,1976-01-01T00:00:00Z,Technology
Q357569,Hashcash,1997-01-01T00:00:00Z,Technology
Q5169369,CorVision,1986-01-01T00:00:00Z,Technology
Q2992227,Concurrent ML,,Technology
Q3352982,Ooc,,Technology
Q5174038,CosmicOS,,Technology
Q7671956,TTM,1968-01-01T00:00:00Z,Technology
Q677161,GAP,1986-01-01T00:00:00Z,Technology
Q522041,SNOBOL,1962-01-01T00:00:00Z,Technology
Q6998311,NetRexx,1996-01-01T00:00:00Z,Technology
Q2626413,Nemerle,2003-01-01T00:00:00Z,Technology
Q121773774,Microsoft C,1983-01-01T00:00:00Z,Technology
Q539268,Inform,1993-01-01T00:00:00Z,Technology
Q28942597,RPG IV,2001-01-01T00:00:00Z,Technology
Q471181,Amiga E,1993-01-01T00:00:00Z,Technology
Q5968955,IBM RPG III,1978-01-01T00:00:00Z,Technology
