id:ID,name,inception,country,:LABEL
Q121898812,Portrait of a young woman with bangs,1936-11-01T00:00:00Z,,Art
Q121898655,Portrait of Ciaptakówna,1936-01-01T00:00:00Z,,Art
Q120946158,Female portrait,1930-04-01T00:00:00Z,,Art
Q114591429,Portrait of Teodor Białynicki-Birula,1929-10-09T00:00:00Z,,Art
Q121827232,"Portrait of H. Spirska, chochol",1930-02-25T00:00:00Z,,Art
Q121898768,Portrait of Jędrzej Marusarz [?],1931-01-30T00:00:00Z,,Art
Q114896255,Portrait of Sergiusz Piasecki,1939-03-01T00:00:00Z,,Art
Q122236234,"Portrait of H. Spirzewska, Vampire",1930-01-01T00:00:00Z,,Art
Q115684938,Portrait of L. Dąbrowska,1930-02-24T00:00:00Z,,Art
Q122228424,"Portrait of Bohdan Filipowski, prof. of secret sciences",1928-06-29T00:00:00Z,,Art
Q122228423,Portrait of Janina and Bohdan Filipowski,1928-05-28T00:00:00Z,,Art
Q115715205,Portrait of Władysław Dobrowolski,1930-02-01T00:00:00Z,,Art
Q120917006,Male portrait,1932-09-01T00:00:00Z,,Art
Q122354680,Portrait of L. Dabrowska,1930-03-01T00:00:00Z,,Art
Q115770272,Portrait of Rafał Malczewski,1930-03-01T00:00:00Z,,Art
Q120946171,Male portrait,1931-10-12T00:00:00Z,,Art
Q115601806,Woman's portrait,1933-01-01T00:00:00Z,,Art
Q121836521,Female portrait,1930-11-25T00:00:00Z,,Art
Q115747289,"Portrait of Leokadia Białynicka-Birula, remarried Janiszewska",1927-05-01T00:00:00Z,,Art
Q121814901,Self-portrait,1926-03-09T00:00:00Z,,Art
Q115751487,"Portrait of Leokadia Białynicka-Birula, remarried Janiszewska, ""Underdrinking""",1927-01-01T00:00:00Z,,Art
Q115440596,Portrait of Jadwiga Skibińska née Niedźwiecka,1933-10-09T00:00:00Z,,Art
Q116547647,Portrait of Janusz Beaurain,1935-02-01T00:00:00Z,,Art
Q121814904,Female portrait,1927-01-01T00:00:00Z,,Art
Q120138072,Portrait of Teodor Białynicki-Birula,1932-12-27T00:00:00Z,,Art
Q120175108,Portrait of Helena Białynicka-Birula,1930-03-01T00:00:00Z,,Art
Q120175103,Portrait of Helena Białynicka-Birula,1929-10-09T00:00:00Z,,Art
Q120175106,Portrait of Helena Białynicka-Birula,1929-10-01T00:00:00Z,,Art
Q115274134,Portrait of Dr. Jan Władysław Pakowski,1934-05-01T00:00:00Z,,Art
Q115757001,Portrait of Helena Białynicka-Birula,1930-12-27T00:00:00Z,,Art
Q120138070,Portrait of Teodor Białynicki-Birula,1930-10-05T00:00:00Z,,Art
Q120138071,Portrait of Teodor Białynicki-Birula,1930-10-05T00:00:00Z,,Art
Q120138066,Portrait of Teodor Białynicki-Birula,1930-03-01T00:00:00Z,,Art
Q120175093,Portrait of Helena Białynicka-Birula,1927-05-02T00:00:00Z,,Art
Q120138052,Portrait of Teodor Białynicki-Birula,1928-03-01T00:00:00Z,,Art
Q115763206,Portrait of Teodor Białynicki-Birula,1931-01-11T00:00:00Z,,Art
Q115769655,Portrait of Michał Białynicki-Birula,1928-04-01T00:00:00Z,,Art
Q122236232,Female portrait,1930-01-01T00:00:00Z,,Art
Q116027044,Portrait of Helena Białynicka-Birula,1930-10-05T00:00:00Z,,Art
Q116027054,Portrait of Helena Białynicka-Birula,1930-10-05T00:00:00Z,,Art
Q120754857,Portrait of Michał Białynicki-Birula,1930-12-27T00:00:00Z,,Art
Q120769039,Portrait of Janina Turowska-Leszczyńska,1933-10-19T00:00:00Z,,Art
Q120754603,Portrait of Zofia Jagodowska,1930-03-01T00:00:00Z,,Art
Q120754601,Portrait of Zofia Jagodowska,1930-02-01T00:00:00Z,,Art
Q118593796,Portrait of Idalia Iwanowska,1929-10-01T00:00:00Z,,Art
Q120754597,Portrait of Nena Stachurska,1929-09-10T00:00:00Z,,Art
Q120755274,Portrait of Janina Turowska-Leszczyńska,1931-10-12T00:00:00Z,,Art
Q120754859,Portrait of Albina Rondomańska,1931-02-21T00:00:00Z,,Art
Q120752392,Portrait of Małgorzata Wanda Żukotyńska,1928-01-01T00:00:00Z,,Art
Q120754604,Portrait of Michał Jagodowski,1930-03-01T00:00:00Z,,Art
Q120909634,Portrait of Janusz Domaniewski,1930-07-28T00:00:00Z,,Art
Q120946738,Portrait,1933-01-01T00:00:00Z,,Art
