id:ID,name,birth_date,place_of_birth,occupation,:LABEL
Q6682,Gustave Doré,1832-01-06T00:00:00Z,Strasbourg,draftsperson,Human
Q9319,Jacopo Tintoretto,1519-01-01T00:00:00Z,Venice,painter,Human
Q9333,Laozi,-0579-01-01T00:00:00Z,Chu,archivist,Human
Q6294,Hillary Clinton,1947-10-26T00:00:00Z,Edgewater Hospital,lawyer,Human
Q9327,Guy de Maupassant,1850-08-05T00:00:00Z,Tourville-sur-Arques,playwright,Human
Q6240,Hafez,1325-01-01T00:00:00Z,Shiraz,lyricist,Human
Q6512,Søren Kierkegaard,1813-05-05T00:00:00Z,Copenhagen,writer,Human
Q6353,Gerardus Mercator,1512-03-15T00:00:00Z,Rupelmonde,cosmographer,Human
Q5432,Francisco Goya,1746-03-30T00:00:00Z,Fuendetodos,painter,Human
Q7198,Ovid,-0042-03-18T00:00:00Z,Sulmona,poet,Human
Q7814,Giotto,1276-01-01T00:00:00Z,Vicchio,muralist,Human
Q13133,Michelle Obama,1964-01-17T00:00:00Z,Chicago,podcaster,Human
Q13021,Vinoba Bhave,1895-09-11T00:00:00Z,Raigad district,writer,Human
Q13003,Arturo Toscanini,1867-03-25T00:00:00Z,Parma,politician,Human
Q7824,Annibale Carracci,1560-11-13T00:00:00Z,Bologna,painter,Human
Q12927,Marine Le Pen,1968-08-05T00:00:00Z,Neuilly-sur-Seine,politician,Human
Q13509,Léon Walras,1834-12-16T00:00:00Z,Évreux,mathematician,Human
Q13230,Ferdinand de Saussure,1857-11-26T00:00:00Z,Geneva,linguist,Human
Q9049,Noam Chomsky,1928-12-07T00:00:00Z,Philadelphia,computer scientist,Human
Q1430,Marcus Aurelius,0121-04-25T00:00:00Z,Rome,writer,Human
Q1426,Roger Federer,1981-08-08T00:00:00Z,Basel,tennis player,Human
Q5547,Antonio Canova,1757-11-01T00:00:00Z,Possagno,painter,Human
Q5444,Pietro Mennea,1952-06-28T00:00:00Z,Barletta,lawyer,Human
Q1450,Bruno Mars,1985-10-08T00:00:00Z,Honolulu,singer,Human
Q8005,Josep Tarradellas i Joan,1899-01-19T00:00:00Z,Cervelló,politician,Human
Q8006,Akira Kurosawa,1910-03-23T00:00:00Z,Ōi,producer,Human
Q7841,Alfred Jarry,1873-09-08T00:00:00Z,Laval,writer,Human
Q7934,Frank Herbert,1920-10-08T00:00:00Z,Tacoma,writer,Human
Q8003,Sergei Eisenstein,1898-01-22T00:00:00Z,Riga,inventor,Human
Q7999,Lluís Llach,1948-05-07T00:00:00Z,Girona,politician,Human
Q8011,Avicenna,0980-01-01T00:00:00Z,Afshona,astronomer,Human
Q8007,Franklin Delano Roosevelt,1882-01-30T00:00:00Z,Hyde Park,statesperson,Human
Q2685,Arnold Schwarzenegger,1947-07-30T00:00:00Z,Thal,politician,Human
Q2599,Paul McCartney,1942-06-18T00:00:00Z,Walton Hospital,actor,Human
Q2607,Erich Honecker,1912-08-25T00:00:00Z,Neunkirchen,autobiographer,Human
Q1035,Charles Darwin,1809-02-12T00:00:00Z,The Mount,writer,Human
Q9061,Karl Marx,1818-05-05T00:00:00Z,Trier,writer,Human
Q9358,Friedrich Nietzsche,1844-10-15T00:00:00Z,Röcken,writer,Human
Q1514,Q1514,1943-01-19T00:00:00Z,Port Arthur,singer,Human
Q1512,Robert Louis Stevenson,1850-11-13T00:00:00Z,Edinburgh,short story writer,Human
Q1541,Cicero,-0106-12-31T00:00:00Z,Arpino,writer,Human
Q1511,Richard Wagner,1813-05-22T00:00:00Z,Leipzig,conductor,Human
Q6515,Mervyn Peake,1911-07-09T00:00:00Z,"Guling, Jiujiang",writer,Human
Q34189,Pablo Neruda,1904-07-12T00:00:00Z,Parral,autobiographer,Human
Q61078,Walter Benjamin,1892-07-15T00:00:00Z,Berlin,writer,Human
Q83059,Saul Bellow,1915-06-10T00:00:00Z,Lachine,writer,Human
Q37767,T. S. Eliot,1888-09-26T00:00:00Z,St. Louis,playwright,Human
Q83158,Jean Cocteau,1889-07-05T00:00:00Z,Maisons-Laffitte,actor,Human
Q13005,Ba Jin,1904-11-25T00:00:00Z,Chengdu,politician,Human
Q5878,Gabriel García Márquez,1927-03-06T00:00:00Z,Aracataca,writer,Human
Q5685,Anton Chekhov,1860-01-29T00:00:00Z,Taganrog,satirist,Human
Q8159,Paul Bocuse,1926-02-11T00:00:00Z,Collonges-au-Mont-d'Or,author,Human
Q8027,Martin Luther King Jr.,1929-01-15T00:00:00Z,Atlanta,human rights activist,Human
Q5950,James Brown,1933-05-03T00:00:00Z,Augusta,composer,Human
Q9235,Georg Wilhelm Friedrich Hegel,1770-08-27T00:00:00Z,Stuttgart,philosophy historian,Human
Q5928,Jimi Hendrix,1942-11-27T00:00:00Z,Seattle,guitarist,Human
Q144439,Bolesław Prus,1847-08-20T00:00:00Z,Hrubieszów,philosopher,Human
Q123920,Alexandre Yersin,1863-09-22T00:00:00Z,Aubonne,explorer,Human
Q103114,Michel Houellebecq,1956-02-26T00:00:00Z,Saint-Pierre,songwriter,Human
Q207710,Sharon den Adel,1974-07-12T00:00:00Z,Waddinxveen,songwriter,Human
Q130742,Alanis Morissette,1974-06-01T00:00:00Z,Ottawa,recording artist,Human
Q199644,Adolfo Caminha,1867-05-29T00:00:00Z,Aracati,writer,Human
Q120381,Colette Peignot,1903-10-08T00:00:00Z,Meudon,writer,Human
Q210798,Joris-Karl Huysmans,1848-02-05T00:00:00Z,Paris,author,Human
Q216195,Tom Wolfe,1930-03-02T00:00:00Z,Richmond,journalist,Human
Q207898,Manu Chao,1961-06-21T00:00:00Z,Paris,composer,Human
Q132524,Ayn Rand,1905-02-02T00:00:00Z,Saint Petersburg,writer,Human
Q119545,Anna Aaron,1985-01-29T00:00:00Z,Basel,singer-songwriter,Human
Q168555,Alison Goldfrapp,1966-05-13T00:00:00Z,Enfield,singer,Human
Q165756,Simon Hollósy,1857-02-02T00:00:00Z,Sighetu Marmației,painter,Human
Q9353,John Locke,1632-09-08T00:00:00Z,Wrington,philosopher,Human
Q1545,Cyndi Lauper,1953-06-22T00:00:00Z,New York City,singer-songwriter,Human
Q1615,Neil Armstrong,1930-08-29T00:00:00Z,Wapakoneta,military flight engineer,Human
Q1544,Tony Garnier,1869-08-13T00:00:00Z,1st arrondissement of Lyon,architect,Human
Q5604,Frank Lloyd Wright,1867-06-08T00:00:00Z,Richland Center,writer,Human
Q5608,Q5608,1972-10-17T00:00:00Z,St. Joseph,singer,Human
Q6107,Tupac Shakur,1971-06-16T00:00:00Z,East Harlem,poet,Human
Q6197,Horace,-0064-12-06T00:00:00Z,Venosa,philosopher,Human
Q8704,Walt Disney,1901-12-05T00:00:00Z,Chicago,producer,Human
Q8739,Archimedes,-0286-01-01T00:00:00Z,ancient Syracuse,astronomer,Human
Q5664,Fra Angelico,1390-01-01T00:00:00Z,Vicchio,illuminator,Human
Q5669,Sandro Botticelli,1445-01-01T00:00:00Z,Florence,painter,Human
Q5969,Eddie Cochran,1938-10-03T00:00:00Z,Albert Lea,singer-songwriter,Human
